--- Feature Importance and SHAP-Feature Correlation (Fold 0) ---

Correlation Threshold for Meaningful Features: 0.1

Feature                                                      Importance      Correlation     Meaningful (Corr > Threshold) 
coGN_ReadoutComponent2_Feature83_fold0                       0.005766        -0.009965       No                            
coGN_ReadoutComponent4_Feature108_fold0                      0.005762        -0.190482       Yes                           
coGN_ReadoutComponent3_Feature73_fold0                       0.005755        -0.245934       Yes                           
coGN_ReadoutComponent3_Feature48_fold0                       0.005733        0.007112        No                            
coGN_ReadoutComponent1_Feature48_fold0                       0.005705        -0.162015       Yes                           
ORB_v3_layer_2_102                                           0.005672        -0.191283       Yes                           
coGN_ReadoutComponent2_Feature5_fold0                        0.005623        -0.128581       Yes                           
ORB_v3_layer_3_249                                           0.005614        0.145519        Yes                           
ORB_v3_layer_3_10                                            0.005601        -0.012103       No                            
coGN_ReadoutComponent1_Feature117_fold0                      0.005600        0.397878        Yes                           
coGN_ReadoutComponent1_Feature14_fold0                       0.005581        0.043659        No                            
ORB_v3_layer_2_181                                           0.005547        -0.072132       No                            
MVL32_Eform_MP_2019_2                                        0.005538        -0.186573       Yes                           
ORB_v3_layer_3_116                                           0.005491        -0.000804       No                            
ROOST_oqmd_eform_LayerMaterialPooling_#38                    0.005491        0.005705        No                            
ORB_v3_encoder_node_features_235                             0.005464        -0.223093       Yes                           
ORB_v3_layer_2_186                                           0.005462        0.058288        No                            
ORB_v3_initial_atom_embedding_171                            0.005457        -0.100063       Yes                           
coGN_ReadoutComponent1_Feature65_fold0                       0.005450        -0.073461       No                            
ORB_v3_layer_3_131                                           0.005423        0.045063        No                            
coGN_ReadoutComponent1_Feature121_fold0                      0.005421        0.240315        Yes                           
coGN_ReadoutComponent2_Feature22_fold0                       0.005406        -0.094686       No                            
coGN_ReadoutComponent1_Feature83_fold0                       0.005400        -0.214063       Yes                           
ORB_v3_layer_1_217                                           0.005394        0.137235        Yes                           
coGN_ReadoutComponent4_Feature85_fold0                       0.005393        0.247132        Yes                           
MVL32_Eform_MP_2019_6                                        0.005388        -0.053309       No                            
ORB_v3_layer_4_199                                           0.005385        -0.175583       Yes                           
ORB_v3_layer_1_248                                           0.005363        -0.035356       No                            
