# FEAT_ID     Score                   Feature Expression
79            0.039824275928881013    (|(feature_4 - feature_3) - (feature_1^2)|)
80            0.0399061896652542977   ((|feature_4 - feature_3|) + (feature_1^6))
81            0.0401561099850121575   ((feature_14 / feature_9) * (feature_11 * feature_1))
82            0.0402150295398484778   (|(|feature_4 - feature_3|) - (feature_1^3)|)
83            0.0402446830369362699   ((|feature_4 - feature_3|) + (feature_1^2))
84            0.0402453460835931198   (|(feature_4 - feature_3) - (feature_1^3)|)
85            0.0405423547210569252   ((|feature_4 - feature_3|) + (feature_1^3))
86            0.0406793011435760202   (|(feature_12 * feature_1) - (feature_3 + feature_1)|)
87            0.0406956229199531561   (|(feature_12 * feature_1) - (|feature_3 - feature_1|)|)
88            0.041842300192180916    (|(feature_8 * feature_1) - (feature_3 + feature_1)|)
89            0.0418441596828506707   (|(feature_8 * feature_1) - (|feature_3 - feature_1|)|)
#-----------------------------------------------------------------------
90            0.0264577484910648517   ((feature_20 / feature_9) / (|feature_27 - feature_9|))
91            0.0265194289478974145   ((feature_20 + feature_1) / (feature_27 - feature_9))
92            0.0267024404465728005   ((feature_21 + feature_1) / (|feature_27 - feature_9|))
93            0.0267931286792196348   ((feature_21 / feature_17) / (feature_27 - feature_9))
94            0.0269507151646711449   ((feature_21 * feature_7) / (|feature_27 - feature_9|))
95            0.0269723690922526148   ((feature_21 + feature_1) / (feature_27 - feature_9))
96            0.0269788227422417294   ((|feature_20 - feature_1|) / (feature_27 - feature_9))
97            0.0269897569438124381   ((feature_13 * feature_6) / (|feature_27 - feature_9|))
98            0.0270657232762958264   ((feature_13 * feature_6) / (feature_27 - feature_9))
99            0.0273687719804343622   ((feature_29 - feature_6) / (|feature_27 - feature_9|))
100           0.0274957368334348279   ((feature_21 / feature_9) - cbrt(feature_16))
101           0.0276132393225754676   ((feature_6 / feature_7) / (|feature_27 - feature_9|))
102           0.027794956437316231    ((feature_21 / feature_9) / (|feature_27 - feature_9|))
103           0.0286589899599958911   (|(feature_21 / feature_9) - cbrt(feature_16)|)
104           0.0333592689135935802   ((feature_13 / feature_9) / (|feature_27 - feature_9|))
#-----------------------------------------------------------------------
